"grapheme_id","sound","comment"
"a","a",
"aa","a:",
"c","k",
"cö","kw",
"e","e",
"ee","e:",
"f","f",
"h","ʔ",
"i","i",
"ii","i:",
"j","x",
"jö","xw",
"ḻ","l",
"l","ɬ",
"m","m",
"n","n",
"o","o",
"oo","o:",
"p","p",
"qu","k",
"r","r",
"s","s",
"t","t",
"x","χ",
"xö","χw",
"y","j",
"z","ʃ",
"â","a","diachronic/morphophonological diacritic indicating lengthening of the first vowel of an original short diphthong"
