"form_id","lexeme","cell","phon_form","orth_form","overabundance_tag","comment","source","POS"
"f0","caahit","real-t.pos.3.sg.neut","t a: ʔ i t","t aa h i t",,,"Moser_Marlett_2010","verb"
"f1","caahit","real-t.pos.3.sg.mult","t a: ʔ i t i m","t aa h i t i m",,,"Moser_Marlett_2010","verb"
"f2","caahit","real-t.pos.3.sg.dist","t a: ʔ i t i m","t aa h i t i m",,,"Moser_Marlett_2010","verb"
"f3","caahit","real-t.pos.3.pl.neut","t a: i t o x","t aa i t o j",,,"Moser_Marlett_2010","verb"
"f4","caahit","real-t.pos.3.pl.mult","t a: i t o ɬ k a","t aa i t o l c a",,,"Moser_Marlett_2010","verb"
"f5","contíca","real-t.pos.3.sg.neut","k o n t i t a","c o n t i t a",,,"Moser_Marlett_2010","verb"
"f6","contíca","real-t.pos.3.sg.mult","k o n t i t a t i m","c o n t i t a t i m",,,"Moser_Marlett_2010","verb"
"f7","contíca","real-t.pos.3.sg.dist","k o n t i t a t i m","c o n t i t a t i m",,,"Moser_Marlett_2010","verb"
"f8","contíca","real-t.pos.3.pl.neut","k o n t i t a t","c o n t i t a t",,,"Moser_Marlett_2010","verb"
"f9","contíca","real-t.pos.3.pl.mult","k o n t i t a t o ɬ k a","c o n t i t a t o l c a",,,"Moser_Marlett_2010","verb"
"f10","contcoozi","real-t.pos.3.sg.neut","k o n t i t o: ʃ i","c o n t i t oo z i",,,"Moser_Marlett_2010","verb"
"f11","contcoozi","real-t.pos.3.sg.mult","k o n t i t o: ʃ i t i m","c o n t i t oo z i t i m",,,"Moser_Marlett_2010","verb"
"f12","contcoozi","real-t.pos.3.sg.dist","k o n t i t o: ʃ i t i m","c o n t i t oo z i t i m",,,"Moser_Marlett_2010","verb"
"f13","contcoozi","real-t.pos.3.pl.neut","k o n t i t o: ʃ i t o x","c o n t i t oo z i t o j",,,"Moser_Marlett_2010","verb"
"f14","contcoozi","real-t.pos.3.pl.mult","k o n t i t o: ʃ i t o ɬ k a","c o n t i t oo z i t o l c a",,,"Moser_Marlett_2010","verb"
"f15","coha","real-t.pos.3.sg.neut","k o t a","c o t a",,,"Moser_Marlett_2010","verb"
"f16","coha","real-t.pos.3.sg.mult","k o t a t i m","c o t a t i m",,,"Moser_Marlett_2010","verb"
"f17","coha","real-t.pos.3.sg.dist","k o t a t i m","c o t a t i m",,,"Moser_Marlett_2010","verb"
"f18","coha","real-t.pos.3.pl.neut","k o t x","c o t j",,,"Moser_Marlett_2010","verb"
"f19","coha","real-t.pos.3.pl.mult","k o t x a m","c o t j a m",,,"Moser_Marlett_2010","verb"
"f20","cocom","real-t.pos.3.sg.neut","k o t o m","c o t o m",,,"Moser_Marlett_2010","verb"
"f21","cocom","real-t.pos.3.sg.mult","k o t o m a m","c o t o m a m",,,"Moser_Marlett_2010","verb"
"f22","cocom","real-t.pos.3.sg.dist","k o t o m a m","c o t o m a m",,,"Moser_Marlett_2010","verb"
"f23","cocom","real-t.pos.3.pl.neut","kw t o: i t i","cö t oo i t i",,,"Moser_Marlett_2010","verb"
"f24","cocom","real-t.pos.3.pl.mult","kw t o i: t o x","cö t o ii t o j","variant forms",,"Moser_Marlett_2010","verb"
"f25","cocom","real-t.pos.3.pl.mult","kw t o i: t o ɬ k a","cö t o ii t o l c a","variant forms",,"Moser_Marlett_2010","verb"
"f26","cöcaaacot","real-t.pos.3.sg.neut","kw i t a: a k o t","cö i t aa a c o t",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f27","cöcaaacot","real-t.pos.3.sg.mult","kw i t a: a k o t i m","cö i t aa a c o t i m",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f28","cöcaaacot","real-t.pos.3.sg.dist","kw i t a: a k o t i m","cö i t aa a c o t i m",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f29","cöcaaacot","real-t.pos.3.pl.neut","kw i t a: a k o t o x","cö i t aa a c o t o j",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f30","cöcaaacot","real-t.pos.3.pl.mult","kw i t a: a k o x a m","cö i t aa a c o j a m",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f31","cöcaafp","real-t.pos.3.sg.neut","kw i t a: f p","cö i t aa f p",,,"Moser_Marlett_2010","verb"
"f32","cöcaafp","real-t.pos.3.sg.mult","kw i t a: f i p o x","cö i t aa f i p o j",,,"Moser_Marlett_2010","verb"
"f33","cöcaafp","real-t.pos.3.sg.dist","kw i t a: f i p o x","cö i t aa f i p o j",,,"Moser_Marlett_2010","verb"
"f34","cöcaafp","real-t.pos.3.pl.neut","kw i t a t o: f i p o x","cö i t a t oo f i p o j",,,"Moser_Marlett_2010","verb"
"f35","cöcaafp","real-t.pos.3.pl.mult","kw i t a t o: f i p o ɬ k a","cö i t a t oo f i p o l c a",,,"Moser_Marlett_2010","verb"
"f36","cöcaaha","real-t.pos.3.sg.neut","kw i t a: ʔ a","cö i t aa h a",,,"Moser_Marlett_2010","verb"
"f37","cöcaaha","real-t.pos.3.sg.mult","kw i t a: ʔ a t i m","cö i t aa h a t i m",,,"Moser_Marlett_2010","verb"
"f38","cöcaaha","real-t.pos.3.sg.dist","kw i t a: ʔ a t i m","cö i t aa h a t i m",,,"Moser_Marlett_2010","verb"
"f39","cöcaaha","real-t.pos.3.pl.neut","kw i t a t o: ʔ a x","cö i t a t oo h a j",,,"Moser_Marlett_2010","verb"
"f40","cöcaaha","real-t.pos.3.pl.mult","kw i t a t o: ʔ a x a m","cö i t a t oo h a j a m",,,"Moser_Marlett_2010","verb"
"f41","cöcaainim","real-t.pos.3.sg.neut","kw i t a: i n i m","cö i t aa i n i m",,,"Moser_Marlett_2010","verb"
"f42","cöcaainim","real-t.pos.3.sg.mult","kw i t a: i n i m","cö i t aa i n i m",,,"Moser_Marlett_2010","verb"
"f43","cöcaainim","real-t.pos.3.sg.dist","kw i t a: i n i m","cö i t aa i n i m",,,"Moser_Marlett_2010","verb"
"f44","cöcaainim","real-t.pos.3.pl.neut","kw i t a t o: i ɬ k a m","cö i t a t oo i l c a m",,,"Moser_Marlett_2010","verb"
"f45","cöcaainim","real-t.pos.3.pl.mult","kw i t a t o: i ɬ k a m","cö i t a t oo i l c a m",,,"Moser_Marlett_2010","verb"
"f46","caaipot","real-t.pos.3.sg.neut","kw i t a: i p o t","cö i t aa i p o t",,,"Moser_Marlett_2010","verb"
"f47","caaipot","real-t.pos.3.sg.mult","kw i t a: i p o t i m","cö i t aa i p o t i m",,,"Moser_Marlett_2010","verb"
"f48","caaipot","real-t.pos.3.sg.dist","kw i t a: i p o t i m","cö i t aa i p o t i m",,,"Moser_Marlett_2010","verb"
"f49","caaipot","real-t.pos.3.pl.neut","kw i t a: i p t","cö i t aa i p t",,,"Moser_Marlett_2010","verb"
"f50","caaipot","real-t.pos.3.pl.mult","kw i t a: i p t o ɬ k a","cö i t aa i p t o l c a",,,"Moser_Marlett_2010","verb"
"f51","cöcaaisx","real-t.pos.3.sg.neut","kw i t a: i s χ","cö i t aa i s x",,,"Moser_Marlett_2010","verb"
"f52","cöcaaisx","real-t.pos.3.sg.mult","kw i t a: i s χ","cö i t aa i s x",,,"Moser_Marlett_2010","verb"
"f53","cöcaaisx","real-t.pos.3.sg.dist","kw i t a: i s χ","cö i t aa i s x",,,"Moser_Marlett_2010","verb"
"f54","cöcaaisx","real-t.pos.3.pl.neut","kw i t a: i s χ","cö i t aa i s x",,,"Moser_Marlett_2010","verb"
"f55","cöcaaisx","real-t.pos.3.pl.mult","kw i t a: i s χ","cö i t aa i s x",,,"Moser_Marlett_2010","verb"
"f56","cöcaaitax","real-t.pos.3.sg.neut","kw i t a: i t a χ","cö i t aa i t a x",,,"Moser_Marlett_2010","verb"
"f57","cöcaaitax","real-t.pos.3.sg.mult","kw i t a: i t χ i m","cö i t aa i t x i m",,,"Moser_Marlett_2010","verb"
"f58","cöcaaitax","real-t.pos.3.sg.dist","kw i t a: i t χ i m","cö i t aa i t x i m",,,"Moser_Marlett_2010","verb"
"f59","cöcaaitax","real-t.pos.3.pl.neut","kw i t a: i t a x k","cö i t aa i t a j c",,,"Moser_Marlett_2010","verb"
"f60","cöcaaitax","real-t.pos.3.pl.mult","kw i t a: i t a χ ɬ k a","cö i t aa i t a x l c a",,,"Moser_Marlett_2010","verb"
"f61","cöcaaix","real-t.pos.3.sg.neut","kw i t a: i χ","cö i t aa i x",,,"Moser_Marlett_2010","verb"
"f62","cöcaaix","real-t.pos.3.sg.mult","kw i t a: i ʃ χ a","cö i t aa i z x a","variant forms",,"Moser_Marlett_2010","verb"
"f63","cöcaaix","real-t.pos.3.sg.mult","kw i t a: a ʃ χ a","cö i t aa a z x a","variant forms","to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f64","cöcaaix","real-t.pos.3.sg.dist","kw i t a: i ʃ χ a","cö i t aa i z x a","variant forms",,"Moser_Marlett_2010","verb"
"f65","cöcaaix","real-t.pos.3.sg.dist","kw i t a: a ʃ χ a","cö i t aa a z x a","variant forms","to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f66","cöcaaix","real-t.pos.3.pl.neut","kw i t a t o i: ʃ χ a x","cö i t a t o ii z x a j",,,"Moser_Marlett_2010","verb"
"f67","cöcaaix","real-t.pos.3.pl.mult","kw i t a t o i: ʃ χ o ɬ k a","cö i t a t o ii z x o l c a",,,"Moser_Marlett_2010","verb"
"f68","cöcaamx","real-t.pos.3.sg.neut","kw i t a: m χ","cö i t aa m x",,,"Moser_Marlett_2010","verb"
"f69","cöcaamx","real-t.pos.3.sg.mult","kw i t a: m a ʃ χ a","cö i t aa m a z x a",,,"Moser_Marlett_2010","verb"
"f70","cöcaamx","real-t.pos.3.sg.dist","kw i t a: m a ʃ χ a","cö i t aa m a z x a",,,"Moser_Marlett_2010","verb"
"f71","cöcaamx","real-t.pos.3.pl.neut","kw i t a t o: m χ o x","cö i t a t oo m x o j",,,"Moser_Marlett_2010","verb"
"f72","cöcaamx","real-t.pos.3.pl.mult","kw i t a t o: m χ o ɬ k a","cö i t a t oo m x o l c a",,,"Moser_Marlett_2010","verb"
"f73","caanim","real-t.pos.3.sg.neut","kw i t a: n i m","cö i t aa n i m",,,"Moser_Marlett_2010","verb"
"f74","caanim","real-t.pos.3.sg.mult","kw i t a: n o m a m","cö i t aa n o m a m",,,"Moser_Marlett_2010","verb"
"f75","caanim","real-t.pos.3.sg.dist","kw i t a: n o m a m","cö i t aa n o m a m",,,"Moser_Marlett_2010","verb"
"f76","caanim","real-t.pos.3.pl.neut","kw i t a: n ɬ a m","cö i t aa n l a m",,,"Moser_Marlett_2010","verb"
"f77","caanim","real-t.pos.3.pl.mult","kw i t a t o: n ɬ a m","cö i t a t oo n l a m",,,"Moser_Marlett_2010","verb"
"f78","cöcaapacot","real-t.pos.3.sg.neut","kw i t a: p a k o t","cö i t aa p a c o t",,,"Moser_Marlett_2010","verb"
"f79","cöcaapacot","real-t.pos.3.sg.mult","kw i t a: p a k o t i m","cö i t aa p a c o t i m",,,"Moser_Marlett_2010","verb"
"f80","cöcaapacot","real-t.pos.3.sg.dist","kw i t a: p a k o t i m","cö i t aa p a c o t i m",,,"Moser_Marlett_2010","verb"
"f81","cöcaapacot","real-t.pos.3.pl.neut","kw i t a: p a x o x","cö i t aa p a j o j",,,"Moser_Marlett_2010","verb"
"f82","cöcaapasi","real-t.pos.3.sg.neut","kw i t a: p a s i","cö i t aa p a s i",,,"Moser_Marlett_2010","verb"
"f83","cöcaapasi","real-t.pos.3.sg.mult","kw i t a: p a s i m","cö i t aa p a s i m",,,"Moser_Marlett_2010","verb"
"f84","cöcaapasi","real-t.pos.3.sg.dist","kw i t a: p a s i m","cö i t aa p a s i m",,,"Moser_Marlett_2010","verb"
"f85","cöcaapasi","real-t.pos.3.pl.neut","kw i t a t o: p a s i x","cö i t a t oo p a s i j",,,"Moser_Marlett_2010","verb"
"f86","cöcaapasi","real-t.pos.3.pl.mult","kw i t a t o: p a χ a m","cö i t a t oo p a x a m",,,"Moser_Marlett_2010","verb"
"f87","cöcaasitim","real-t.pos.3.sg.neut","kw i t a: s i t i m","cö i t aa s i t i m",,,"Moser_Marlett_2010","verb"
"f88","cöcaasitim","real-t.pos.3.sg.mult","kw i t a: s i t i m","cö i t aa s i t i m",,,"Moser_Marlett_2010","verb"
"f89","cöcaasitim","real-t.pos.3.sg.dist","kw i t a: s i t i m","cö i t aa s i t i m",,,"Moser_Marlett_2010","verb"
"f90","cöcaasitim","real-t.pos.3.pl.neut","kw i t a t o: s","cö i t a t oo s",,,"Moser_Marlett_2010","verb"
"f91","cöcaasitim","real-t.pos.3.pl.mult","kw i t a t o: s j o ɬ k a","cö i t a t oo s y o l c a",,,"Moser_Marlett_2010","verb"
"f92","cöcaasot","real-t.pos.3.sg.neut","kw i t a: s o t","cö i t aa s o t",,,"Moser_Marlett_2010","verb"
"f93","cöcaasot","real-t.pos.3.sg.mult","kw i t a: s o t i m","cö i t aa s o t i m",,,"Moser_Marlett_2010","verb"
"f94","cöcaasot","real-t.pos.3.sg.dist","kw i t a: s o t i m","cö i t aa s o t i m",,,"Moser_Marlett_2010","verb"
"f95","cöcaasot","real-t.pos.3.pl.neut","kw i t a t o: s o t o x","cö i t a t oo s o t o j",,,"Moser_Marlett_2010","verb"
"f96","cöcaasot","real-t.pos.3.pl.mult","kw i t a t o: s o t o ɬ k a","cö i t a t oo s o t o l c a",,,"Moser_Marlett_2010","verb"
"f97","cöcaas","real-t.pos.3.sg.neut","kw i t a: s","cö i t aa s",,,"Moser_Marlett_2010","verb"
"f98","cöcaas","real-t.pos.3.sg.mult","kw i t a: s t i m","cö i t aa s t i m",,,"Moser_Marlett_2010","verb"
"f99","cöcaas","real-t.pos.3.sg.dist","kw i t a: s t i m","cö i t aa s t i m",,,"Moser_Marlett_2010","verb"
"f100","cöcaas","real-t.pos.3.pl.neut","kw i t a t o: s","cö i t a t oo s",,,"Moser_Marlett_2010","verb"
"f101","cöcaas","real-t.pos.3.pl.mult","kw i t a t o: s j o ɬ k a","cö i t a t oo s y o l c a",,,"Moser_Marlett_2010","verb"
"f102","cöcaatajquim","real-t.pos.3.sg.neut","kw i t a: t a x k i m","cö i t aa t a j qu i m",,,"Moser_Marlett_2010","verb"
"f103","cöcaatajquim","real-t.pos.3.sg.mult","kw i t a: t a x k i m","cö i t aa t a j qu i m",,,"Moser_Marlett_2010","verb"
"f104","cöcaatajquim","real-t.pos.3.sg.dist","kw i t a: t a x k i m","cö i t aa t a j qu i m",,,"Moser_Marlett_2010","verb"
"f105","cöcaatajquim","real-t.pos.3.pl.neut","kw i t a t o: t x o x","cö i t a t oo t j o j",,,"Moser_Marlett_2010","verb"
"f106","cöcaatajquim","real-t.pos.3.pl.mult","kw i t a t o: t x o x","cö i t a t oo t j o j",,,"Moser_Marlett_2010","verb"
"f107","cöcaatni","real-t.pos.3.sg.neut","kw i t a: t n i","cö i t aa t n i",,,"Moser_Marlett_2010","verb"
"f108","cöcaatni","real-t.pos.3.sg.mult","kw i t a: t n i","cö i t aa t n i",,,"Moser_Marlett_2010","verb"
"f109","cöcaatni","real-t.pos.3.sg.dist","kw i t a: t n i","cö i t aa t n i",,,"Moser_Marlett_2010","verb"
"f110","cöcaatni","real-t.pos.3.pl.neut","kw i t a t o: t ɬ o ɬ k a","cö i t a t oo t l o l c a",,,"Moser_Marlett_2010","verb"
"f111","cöcaatni","real-t.pos.3.pl.mult","kw i t a t o: t ɬ o ɬ k a","cö i t a t oo t l o l c a",,,"Moser_Marlett_2010","verb"
"f112","cöcaaz","real-t.pos.3.sg.neut","kw i t a: ʃ","cö i t aa z",,,"Moser_Marlett_2010","verb"
"f113","cöcaaz","real-t.pos.3.sg.mult","kw i t a: ʃ t i m","cö i t aa z t i m",,,"Moser_Marlett_2010","verb"
"f114","cöcaaz","real-t.pos.3.sg.dist","kw i t a: ʃ t i m","cö i t aa z t i m",,,"Moser_Marlett_2010","verb"
"f115","cöcaaz","real-t.pos.3.pl.neut","kw i t a t o: ʃ","cö i t a t oo z",,,"Moser_Marlett_2010","verb"
"f116","cöcaaz","real-t.pos.3.pl.mult","kw i t a t o: ʃ j o ɬ k a","cö i t a t oo z y o l c a",,,"Moser_Marlett_2010","verb"
"f117","cöcacaaat","real-t.pos.3.sg.neut","kw i t a k a: a t","cö i t a c aa a t",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f118","cöcacaaat","real-t.pos.3.sg.mult","kw i t a k a: a t i m","cö i t a c aa a t i m",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f119","cöcacaaat","real-t.pos.3.sg.dist","kw i t a k a: a t i m","cö i t a c aa a t i m",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f120","cöcacaaat","real-t.pos.3.pl.neut","kw i t a k a: a t x","cö i t a c aa a t j",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f121","cöcacaaat","real-t.pos.3.pl.mult","kw i t a k a: a t x","cö i t a c aa a t j",,"to check (3 consecutive vowel characters)","Moser_Marlett_2010","verb"
"f122","cöcacaato","real-t.pos.3.sg.neut","kw i t a k a: t o","cö i t a c aa t o",,,"Moser_Marlett_2010","verb"
"f123","cöcacaato","real-t.pos.3.sg.mult","kw i t a k a: t o","cö i t a c aa t o",,,"Moser_Marlett_2010","verb"
"f124","cöcacaato","real-t.pos.3.sg.dist","kw i t a k a: t o","cö i t a c aa t o",,,"Moser_Marlett_2010","verb"
"f125","cöcacaato","real-t.pos.3.pl.neut","kw i t a k a: t o x","cö i t a c aa t o j",,,"Moser_Marlett_2010","verb"
"f126","cöcacaato","real-t.pos.3.pl.mult","kw i t a k a: t o x","cö i t a c aa t o j",,,"Moser_Marlett_2010","verb"
"f127","cöcacaaxot","real-t.pos.3.sg.neut","kw i t a k a: χ o t","cö i t a c aa x o t",,,"Moser_Marlett_2010","verb"
"f128","cöcacaaxot","real-t.pos.3.sg.mult","kw i t a k a: χ o t","cö i t a c aa x o t",,,"Moser_Marlett_2010","verb"
"f129","cöcacaaxot","real-t.pos.3.sg.dist","kw i t a k a: χ o t","cö i t a c aa x o t",,,"Moser_Marlett_2010","verb"
"f130","cöcacaaxot","real-t.pos.3.pl.neut","kw i t a k a: χ o x","cö i t a c aa x o j",,,"Moser_Marlett_2010","verb"
"f131","cöcacaaxot","real-t.pos.3.pl.mult","kw i t a k a: χ o x","cö i t a c aa x o j",,,"Moser_Marlett_2010","verb"
"f132","cöcacázinot","real-t.pos.3.sg.neut","kw i t a k a ʃ i n o t","cö i t a c a z i n o t",,,"Moser_Marlett_2010","verb"
"f133","cöcacázinot","real-t.pos.3.sg.mult","kw i t a k a ʃ x k","cö i t a c a z j c",,,"Moser_Marlett_2010","verb"
"f134","cöcacázinot","real-t.pos.3.sg.dist","kw i t a k a ʃ x k","cö i t a c a z j c",,,"Moser_Marlett_2010","verb"
"f135","cöcacázinot","real-t.pos.3.pl.neut","kw i t a k a ʃ x o x","cö i t a c a z j o j",,,"Moser_Marlett_2010","verb"
"f136","cöcacázinot","real-t.pos.3.pl.mult","kw i t a k a ʃ ɬ o ɬ k a","cö i t a c a z l o l c a",,,"Moser_Marlett_2010","verb"
"f137","cöcacoaat","real-t.pos.3.sg.neut","kw i t a k o a: t","cö i t a c o aa t",,,"Moser_Marlett_2010","verb"
"f138","cöcacoaat","real-t.pos.3.sg.mult","kw i t a k o a: t i m","cö i t a c o aa t i m",,,"Moser_Marlett_2010","verb"
"f139","cöcacoaat","real-t.pos.3.sg.dist","kw i t a k o a: t i m","cö i t a c o aa t i m",,,"Moser_Marlett_2010","verb"
"f140","cöcacoaat","real-t.pos.3.pl.neut","kw i t a k o a: t x","cö i t a c o aa t j","variant forms",,"Moser_Marlett_2010","verb"
"f141","cöcacoaat","real-t.pos.3.pl.neut","kw i t a k o a: x","cö i t a c o aa j","variant forms",,"Moser_Marlett_2010","verb"
"f142","cöcacoaat","real-t.pos.3.pl.mult","kw i t a k o a: x a m","cö i t a c o aa j a m",,,"Moser_Marlett_2010","verb"
"f143","cöcacócatx","real-t.pos.3.sg.neut","kw i t a k o k a t χ","cö i t a c o c a t x",,,"Moser_Marlett_2010","verb"
"f144","cöcacócatx","real-t.pos.3.sg.mult","kw i t a k o k a t χ","cö i t a c o c a t x",,,"Moser_Marlett_2010","verb"
"f145","cöcacócatx","real-t.pos.3.sg.dist","kw i t a k o k a t χ","cö i t a c o c a t x",,,"Moser_Marlett_2010","verb"
"f146","cöcacócatx","real-t.pos.3.pl.neut","kw i t a k o i: ɬ a x k","cö i t a c o ii l a j c",,,"Moser_Marlett_2010","verb"
"f147","cöcacócatx","real-t.pos.3.pl.mult","kw i t a k o i: ɬ a x k","cö i t a c o ii l a j c",,,"Moser_Marlett_2010","verb"
"f148","cöcacófelim, cöcacófilim","real-t.pos.3.sg.neut","kw i t a k o f e ɬ i m","cö i t a c o f e l i m",,,"Moser_Marlett_2010","verb"
"f149","cöcacófelim, cöcacófilim","real-t.pos.3.sg.mult","kw i t a k o f e ɬ i m","cö i t a c o f e l i m",,,"Moser_Marlett_2010","verb"
"f150","cöcacófelim, cöcacófilim","real-t.pos.3.sg.dist","kw i t a k o f e ɬ i m","cö i t a c o f e l i m",,,"Moser_Marlett_2010","verb"
"f151","cöcacófelim, cöcacófilim","real-t.pos.3.pl.neut","kw i t a k o f e ɬ a m","cö i t a c o f e l a m",,,"Moser_Marlett_2010","verb"
"f152","cöcacófelim, cöcacófilim","real-t.pos.3.pl.mult","kw i t a k o f e ɬ a m","cö i t a c o f e l a m",,,"Moser_Marlett_2010","verb"
"f153","cöcacóhatol","real-t.pos.3.sg.neut","kw i t a k o ʔ a t o ɬ","cö i t a c o h a t o l",,,"Moser_Marlett_2010","verb"
"f154","cöcacóhatol","real-t.pos.3.sg.mult","kw i t a k o ʔ a ɬ i m","cö i t a c o h a l i m",,,"Moser_Marlett_2010","verb"
"f155","cöcacóhatol","real-t.pos.3.sg.dist","kw i t a k o ʔ a ɬ i m","cö i t a c o h a l i m",,,"Moser_Marlett_2010","verb"
"f156","cöcacóhatol","real-t.pos.3.pl.neut","kw i t a k o ʔ a ɬ a","cö i t a c o h a l a",,,"Moser_Marlett_2010","verb"
"f157","cöcacóhatol","real-t.pos.3.pl.mult","kw i t a k o ʔ a ɬ a m","cö i t a c o h a l a m",,,"Moser_Marlett_2010","verb"
"f158","cöcacohot","real-t.pos.3.sg.neut","kw i t a k o ʔ o t","cö i t a c o h o t",,,"Moser_Marlett_2010","verb"
"f159","cöcacohot","real-t.pos.3.sg.mult","kw i t a k o ʔ o t i m","cö i t a c o h o t i m",,,"Moser_Marlett_2010","verb"
"f160","cöcacohot","real-t.pos.3.sg.dist","kw i t a k o ʔ o t i m","cö i t a c o h o t i m",,,"Moser_Marlett_2010","verb"
"f161","cöcacohot","real-t.pos.3.pl.neut","kw i t a k o ʔ t","cö i t a c o h t",,,"Moser_Marlett_2010","verb"
"f162","cöcacohot","real-t.pos.3.pl.mult","kw i t a k o ʔ t o ɬ k a","cö i t a c o h t o l c a",,,"Moser_Marlett_2010","verb"
"f163","cöcacomit","real-t.pos.3.sg.neut","kw i t a k o m i t","cö i t a c o m i t",,,"Moser_Marlett_2010","verb"
"f164","cöcacomit","real-t.pos.3.sg.mult","kw i t a k o m i t i m","cö i t a c o m i t i m",,,"Moser_Marlett_2010","verb"
"f165","cöcacomit","real-t.pos.3.sg.dist","kw i t a k o m i t i m","cö i t a c o m i t i m",,,"Moser_Marlett_2010","verb"
"f166","cöcacomit","real-t.pos.3.pl.neut","kw i t a k o m j o x","cö i t a c o m y o j",,,"Moser_Marlett_2010","verb"
"f167","cöcacomit","real-t.pos.3.pl.mult","kw i t a k o m j o ɬ k a","cö i t a c o m y o l c a",,,"Moser_Marlett_2010","verb"
"f168","cöcacómosim","real-t.pos.3.sg.neut","kw i t a k o m o s i m","cö i t a c o m o s i m",,,"Moser_Marlett_2010","verb"
"f169","cöcacómosim","real-t.pos.3.sg.mult","kw i t a k o m o s i m","cö i t a c o m o s i m",,,"Moser_Marlett_2010","verb"
"f170","cöcacómosim","real-t.pos.3.sg.dist","kw i t a k o m o s i m","cö i t a c o m o s i m",,,"Moser_Marlett_2010","verb"
"f171","cöcacómosim","real-t.pos.3.pl.neut","kw i t a k o m o s a m","cö i t a c o m o s a m",,,"Moser_Marlett_2010","verb"
"f172","cöcacómosim","real-t.pos.3.pl.mult","kw i t a k o m o s a m","cö i t a c o m o s a m",,,"Moser_Marlett_2010","verb"
"f173","cöcacómzo","real-t.pos.3.sg.neut","kw i t a k o m ʃ o","cö i t a c o m z o",,,"Moser_Marlett_2010","verb"
"f174","cöcacómzo","real-t.pos.3.sg.mult","kw i t a k o m ʃ o","cö i t a c o m z o",,,"Moser_Marlett_2010","verb"
"f175","cöcacómzo","real-t.pos.3.sg.dist","kw i t a k o m ʃ o","cö i t a c o m z o",,,"Moser_Marlett_2010","verb"
"f176","cöcacómzo","real-t.pos.3.pl.neut","kw i t a k o m k a x","cö i t a c o m c a j",,,"Moser_Marlett_2010","verb"
"f177","cöcacómzo","real-t.pos.3.pl.mult","kw i t a k o m k a x","cö i t a c o m c a j",,,"Moser_Marlett_2010","verb"
"f178","cöcacooix","real-t.pos.3.sg.neut","kw i t a k o: i χ","cö i t a c oo i x",,,"Moser_Marlett_2010","verb"
"f179","cöcacooix","real-t.pos.3.sg.mult","kw i t a k o a: χ i m","cö i t a c o aa x i m",,,"Moser_Marlett_2010","verb"
"f180","cöcacooix","real-t.pos.3.sg.dist","kw i t a k o a: χ i m","cö i t a c o aa x i m",,,"Moser_Marlett_2010","verb"
"f181","cöcacooix","real-t.pos.3.pl.neut","kw i t a k o a: χ o x","cö i t a c o aa x o j",,,"Moser_Marlett_2010","verb"
"f182","cöcacooix","real-t.pos.3.pl.mult","kw i t a k o a: χ o ɬ k a","cö i t a c o aa x o l c a",,,"Moser_Marlett_2010","verb"
"f183","cöcacooot","real-t.pos.3.sg.neut","kw i t a k o: t","cö i t a c oo t",,,"Moser_Marlett_2010","verb"
"f184","cöcacooot","real-t.pos.3.sg.mult","kw i t a k o: t i m","cö i t a c oo t i m",,,"Moser_Marlett_2010","verb"
"f185","cöcacooot","real-t.pos.3.sg.dist","kw i t a k o: t i m","cö i t a c oo t i m",,,"Moser_Marlett_2010","verb"
"f186","cöcacooot","real-t.pos.3.pl.neut","kw i t a k o: i t","cö i t a c oo i t",,,"Moser_Marlett_2010","verb"
"f187","cöcacooot","real-t.pos.3.pl.mult","kw i t a k o: i t o ɬ k a","cö i t a c oo i t o l c a",,,"Moser_Marlett_2010","verb"
"f188","cöcacooyam","real-t.pos.3.sg.neut","kw i t a k o: j a m","cö i t a c oo y a m",,,"Moser_Marlett_2010","verb"
"f189","cöcacooyam","real-t.pos.3.sg.mult","kw i t a k o i: j a m","cö i t a c o ii y a m",,,"Moser_Marlett_2010","verb"
"f190","cöcacooyam","real-t.pos.3.sg.dist","kw i t a k o i: j a m","cö i t a c o ii y a m",,,"Moser_Marlett_2010","verb"
"f191","cöcacooyam","real-t.pos.3.pl.neut","kw i t a k o: j a x","cö i t a c oo y a j",,,"Moser_Marlett_2010","verb"
"f192","cöcacooyam","real-t.pos.3.pl.mult","kw i t a k o i: j a x","cö i t a c o ii y a j",,,"Moser_Marlett_2010","verb"
"f193","cöcacoozit","real-t.pos.3.sg.neut","kw i t a k o: ʃ i t","cö i t a c oo z i t",,,"Moser_Marlett_2010","verb"
"f194","cöcacoozit","real-t.pos.3.sg.mult","kw i t a k o: ʃ i t i m","cö i t a c oo z i t i m",,,"Moser_Marlett_2010","verb"
