"cell_id","comment","POS"
"real-yo.pos.3.pl.neut",,"verb"
"real-yo.pos.3.pl.mult",,"verb"
"real-yo.pos.pass.1.sg.neut",,"verb"
"real-yo.pos.pass.1.sg.mult",,"verb"
"real-yo.pos.pass.1.sg.dist",,"verb"
"real-yo.pos.pass.2.sg.neut",,"verb"
"real-yo.pos.pass.2.sg.mult",,"verb"
"real-yo.pos.pass.2.sg.dist",,"verb"
"real-yo.pos.pass.3.sg.neut",,"verb"
"real-yo.pos.pass.3.sg.mult",,"verb"
"real-yo.pos.pass.3.sg.dist",,"verb"
"real-yo.pos.pass.1.pl.neut",,"verb"
"real-yo.pos.pass.1.pl.mult",,"verb"
"real-yo.pos.pass.2.pl.neut",,"verb"
"real-yo.pos.pass.2.pl.mult",,"verb"
"real-yo.pos.pass.3.pl.neut",,"verb"
"real-yo.pos.pass.3.pl.mult",,"verb"
"real-yo.neg.1.sg.neut",,"verb"
"real-yo.neg.1.sg.mult",,"verb"
"real-yo.neg.1.sg.dist",,"verb"
"real-yo.neg.2.sg.neut",,"verb"
"real-yo.neg.2.sg.mult",,"verb"
"real-yo.neg.2.sg.dist",,"verb"
"real-yo.neg.3.sg.neut",,"verb"
"real-yo.neg.3.sg.mult",,"verb"
"real-yo.neg.3.sg.dist",,"verb"
"real-yo.neg.1.pl.neut",,"verb"
"real-yo.neg.1.pl.mult",,"verb"
"real-yo.neg.2.pl.neut",,"verb"
"real-yo.neg.2.pl.mult",,"verb"
"real-yo.neg.3.pl.neut",,"verb"
"real-yo.neg.3.pl.mult",,"verb"
"real-yo.neg.pass.1.sg.neut",,"verb"
"real-yo.neg.pass.1.sg.mult",,"verb"
"real-yo.neg.pass.1.sg.dist",,"verb"
"real-yo.neg.pass.2.sg.neut",,"verb"
"real-yo.neg.pass.2.sg.mult",,"verb"
"real-yo.neg.pass.2.sg.dist",,"verb"
"real-yo.neg.pass.3.sg.neut",,"verb"
"real-yo.neg.pass.3.sg.mult",,"verb"
"real-yo.neg.pass.3.sg.dist",,"verb"
"real-yo.neg.pass.1.pl.neut",,"verb"
